ArraySize,KeyOfSize10000000,TimeOfSize10000000
0,159162973,942
1,159165448,1062
2,159163000,1004
3,159166042,958
4,159288693,939
5,160184183,858
6,160182944,846
7,160183382,842
8,160184279,847
9,162238728,823
10,165524469,786
11,165520549,788
12,165524491,786
13,165521992,786
14,165523487,784
15,165522761,786
16,165524635,785
17,165522657,800
18,165522486,806
19,180173345,765
20,181488985,754
